LOJA;DATA;DIA DA SEMANA;VENDAS DELIVERY BRUTO;VENDAS DELIVERY LIQUIDO;VENDAS BALCAO BRUTO;VENDAS BALCAO LIQUIDO;FATURAMENTO BRUTO;FATURAMENTO LIQUIDO
0001 - BOLOS DO FLAVIO - ASA SUL;01/04/2026;Quarta-feira;4126,9;3743,35;14451,7;14429,7;18578,6;18173,05
0001 - BOLOS DO FLAVIO - ASA SUL;02/04/2026;Quinta-feira;4497,5;4065,63;18804,8;18787,0;23302,3;22852,63
0001 - BOLOS DO FLAVIO - ASA SUL;03/04/2026;Sexta-feira;767,9;697,07;8870,7;8870,7;9638,6;9567,77
0001 - BOLOS DO FLAVIO - ASA SUL;04/04/2026;Sábado;5732,7;5127,36;14563,8;14563,8;20296,5;19691,16
0001 - BOLOS DO FLAVIO - ASA SUL;05/04/2026;Domingo;0,0;0,0;7803,4;7803,4;7803,4;7803,4
0001 - BOLOS DO FLAVIO - ASA SUL;06/04/2026;Segunda-feira;5596,9;5028,38;9338,8;9326,8;14935,7;14355,18
0001 - BOLOS DO FLAVIO - ASA SUL;07/04/2026;Terça-feira;3324,9;2960,08;9536,7;9536,7;12861,6;12496,78
0001 - BOLOS DO FLAVIO - ASA SUL;08/04/2026;Quarta-feira;4100,8;3719,36;9795,3;9795,3;13896,1;13514,66
0001 - BOLOS DO FLAVIO - ASA SUL;09/04/2026;Quinta-feira;5102,1;4674,11;10885,9;10885,9;15988,0;15560,01
0001 - BOLOS DO FLAVIO - ASA SUL;10/04/2026;Sexta-feira;5433,4;4936,2;15619,4;15619,4;21052,8;20555,6
0001 - BOLOS DO FLAVIO - ASA SUL;11/04/2026;Sábado;2586,0;2306,52;13769,2;13769,2;16355,2;16075,72
0001 - BOLOS DO FLAVIO - ASA SUL;12/04/2026;Domingo;3624,4;3279,65;9777,5;9777,5;13401,9;13057,15
0001 - BOLOS DO FLAVIO - ASA SUL;13/04/2026;Segunda-feira;4364,9;3991,45;10831,2;10831,2;15196,1;14822,65
0001 - BOLOS DO FLAVIO - ASA SUL;14/04/2026;Terça-feira;4154,9;3735,36;10778,5;10778,5;14933,4;14513,86
0001 - BOLOS DO FLAVIO - ASA SUL;15/04/2026;Quarta-feira;4174,7;3739,99;10893,7;10893,7;15068,4;14633,69
