SABOR,UNIDADE,QUANTIDADE,DATA,DIA DA SEMANA
MESCLADO,QUADRA 1,5,01/04/2026,quarta-feira
MESCLADO,CENTRAL,8,01/04/2026,quarta-feira
MESCLADO,NOROESTE,8,01/04/2026,quarta-feira
MESCLADO,ASA SUL,10,01/04/2026,quarta-feira
MESCLADO,ASA NORTE,8,01/04/2026,quarta-feira
MESCLADO,CONJ. NACIONAL,0,01/04/2026,quarta-feira
MESCLADO,LOJINHA,6,01/04/2026,quarta-feira
MESCLADO,SUDOESTE 1,9,01/04/2026,quarta-feira
MESCLADO,SUDOESTE 2,11,01/04/2026,quarta-feira
MESCLADO,GUARA,6,01/04/2026,quarta-feira
MESCLADO,JARDIM,6,01/04/2026,quarta-feira
MESCLADO,GILBERTO,6,01/04/2026,quarta-feira
MESCLADO,BAHAMAS,8,01/04/2026,quarta-feira
MESCLADO,CONTAINER,7,01/04/2026,quarta-feira
MESCLADO,POSTO,14,01/04/2026,quarta-feira
MESCLADO,ARNIQUEIRA,2,01/04/2026,quarta-feira
MESCLADO,EPNB,3,01/04/2026,quarta-feira
MESCLADO,GAMA,8,01/04/2026,quarta-feira
MESCLADO,RECANTO,3,01/04/2026,quarta-feira
MESCLADO,SAMAMBAIA,6,01/04/2026,quarta-feira
MESCLADO,SAMAMBAIA SUL,2,01/04/2026,quarta-feira
MESCLADO,PONTE ALTA,3,01/04/2026,quarta-feira
MESCLADO,ALAMEDA,0,01/04/2026,quarta-feira
MESCLADO,TAGUATINGA,10,01/04/2026,quarta-feira
MESCLADO,CEILANDIA,5,01/04/2026,quarta-feira
MESCLADO,VICENTE PIRES,4,01/04/2026,quarta-feira
FORMIGUEIRO,QUADRA 1,9,01/04/2026,quarta-feira
FORMIGUEIRO,CENTRAL,9,01/04/2026,quarta-feira
FORMIGUEIRO,NOROESTE,11,01/04/2026,quarta-feira
FORMIGUEIRO,ASA SUL,14,01/04/2026,quarta-feira
FORMIGUEIRO,ASA NORTE,15,01/04/2026,quarta-feira
FORMIGUEIRO,CONJ. NACIONAL,11,01/04/2026,quarta-feira
FORMIGUEIRO,LOJINHA,8,01/04/2026,quarta-feira
FORMIGUEIRO,SUDOESTE 1,9,01/04/2026,quarta-feira
FORMIGUEIRO,SUDOESTE 2,13,01/04/2026,quarta-feira
FORMIGUEIRO,GUARA,10,01/04/2026,quarta-feira
FORMIGUEIRO,JARDIM,9,01/04/2026,quarta-feira
FORMIGUEIRO,GILBERTO,8,01/04/2026,quarta-feira
FORMIGUEIRO,BAHAMAS,11,01/04/2026,quarta-feira
FORMIGUEIRO,CONTAINER,13,01/04/2026,quarta-feira
FORMIGUEIRO,POSTO,18,01/04/2026,quarta-feira
FORMIGUEIRO,ARNIQUEIRA,3,01/04/2026,quarta-feira
FORMIGUEIRO,EPNB,3,01/04/2026,quarta-feira
FORMIGUEIRO,GAMA,8,01/04/2026,quarta-feira
FORMIGUEIRO,RECANTO,4,01/04/2026,quarta-feira
FORMIGUEIRO,SAMAMBAIA,6,01/04/2026,quarta-feira
FORMIGUEIRO,SAMAMBAIA SUL,1,01/04/2026,quarta-feira
FORMIGUEIRO,PONTE ALTA,3,01/04/2026,quarta-feira
FORMIGUEIRO,ALAMEDA,4,01/04/2026,quarta-feira
FORMIGUEIRO,TAGUATINGA,17,01/04/2026,quarta-feira
FORMIGUEIRO,CEILANDIA,7,01/04/2026,quarta-feira
FORMIGUEIRO,VICENTE PIRES,8,01/04/2026,quarta-feira
LARANJA,QUADRA 1,2,01/04/2026,quarta-feira
LARANJA,CENTRAL,5,01/04/2026,quarta-feira
LARANJA,NOROESTE,8,01/04/2026,quarta-feira
LARANJA,ASA SUL,8,01/04/2026,quarta-feira
